entry_id,date_collected,evidence_date,source_type,source_name,source_url,subject_state,subject_program,evidence_strength,mandate_explicit,paraphrase_or_quote,attribution,why_it_matters
QE011,2026-04-29,2025-06-26,independent_quantitative_research,Gusto,https://gusto.com/resources/gusto-insights/state-auto-ira-mandates-boost-401k-adoption-with-largest-gains-among-lower-income-workers,CO,SecureSavings,explicit,yes,"Gusto's Government Affairs and Economic Research teams used proprietary data on 300,000 small-business customers to estimate that the share of Colorado firms with 5+ employees offering a 401(k) plan increased 45 percent (from 25.3% to 38.0%) in the year leading up to the SecureSavings 2023 deadline. Over the same period, the comparable share in five neighboring non-mandate states (Arizona, Utah, Nevada, Kansas, Nebraska) remained essentially flat (20.4% to 21.2%).","Gusto Government Affairs and Economic Research analysis, June 2025","STRONGEST QUANTITATIVE THIRD-PARTY CORROBORATION COLLECTED. This is essentially an independent natural-experiment study using a different data source (Gusto small-business administrative data, not Form 5500) and a slightly different research design (state-vs-neighboring-state simple difference, not staggered DiD), arriving at the same qualitative conclusion as our DiD: state auto-IRA mandates cause meaningful 401(k) plan formation among small employers."
QE012,2026-04-29,2025-06-26,independent_quantitative_research,Gusto,https://gusto.com/resources/gusto-insights/state-auto-ira-mandates-boost-401k-adoption-with-largest-gains-among-lower-income-workers,CO,SecureSavings,explicit,yes,"Gusto found the largest increases were concentrated in the smallest firm-size bands subject to the mandate. Colorado firms with 5–9 employees saw a 52% increase in 401(k) adoption (18.6% to 28.2%); 10–24 employee firms saw 37%; 25+ employee firms saw 43%. Firms with 1–4 employees (not subject to mandate) saw essentially no change (8.0% to 8.3%).",Gusto Government Affairs and Economic Research analysis,"DIRECTLY MIRRORS THE PROJECT'S FIRM-LEVEL FINDINGS. The fact that Gusto sees the largest mandate effect in 5-9 employee firms aligns precisely with our firm-level descriptive finding that 62% of mandate-induced plans are solo or micro. Two independent analyses on different data hitting the same firm-size pattern is exceptionally strong cross-validation."
QE013,2026-04-29,2024-12-10,state_treasurer_official_attribution,Colorado Department of Treasury,https://treasury.colorado.gov/press-release/colorado-securesavings-program-surpasses-68000-savers-and-94-million-in-savings,CO,SecureSavings,explicit,yes,"In an official press release announcing 68,000 savers and $94 million in savings, the Colorado Department of Treasury directly cites the Gusto analysis, stating that an analysis by Gusto found a 45 percent increase in private 401(k) adoption among Colorado employers during the first year of Colorado SecureSavings implementation. State Treasurer Dave Young is quoted urging business owners to take action before compliance enforcement begins.",Colorado Department of Treasury press release,"OFFICIAL STATE VALIDATION of the mechanism. The Colorado Treasurer's office officially adopts the +45% finding in its own press release. Combined with the underlying Gusto research, this is as close to state-administrative confirmation of the mechanism as is publicly available without a CPRA/FOIA request."
QE014,2026-04-29,2024-05-25,firm_level_named_quote,Colorado Sun (Tamara Chuang),https://coloradosun.com/2024/05/25/colorado-retirement-law-secure-savings-401k/,CO,SecureSavings,explicit,yes,"Colorado Sun reporter Tamara Chuang reports that many private employers ended up starting their own 401(k)s in response to the SecureSavings mandate. Cites Gusto's tracking of 300,000 small-business customers showing the largest increases in 401(k) participants between July 2022 and 2023 were companies with 5 to 9 employees and workers earning $15,000–$25,000 annually. Names Blue Bonnet Restaurant Denver as an early SecureSavings adopter.",Colorado Sun mainstream-media reporting,Mainstream-press confirmation of mechanism with named firm example.
QE015,2026-04-29,2024-05-25,trade_association_official,NFIB Colorado,https://coloradosun.com/2024/05/25/colorado-retirement-law-secure-savings-401k/,CO,SecureSavings,suggestive,yes,"NFIB Colorado state director Tony Gagliardi said the small-business advocacy group has not received pushback from members about the mandate, with the most common member question being where and how to sign up.",Tony Gagliardi (NFIB Colorado state director) via Colorado Sun,Small-business trade-association confirmation that the response has been compliance-oriented rather than resistance-oriented.
QE016,2026-04-29,2025-06-26,independent_quantitative_research,Gusto,https://gusto.com/resources/gusto-insights/state-auto-ira-mandates-boost-401k-adoption-with-largest-gains-among-lower-income-workers,multiple,multiple,explicit,yes,"Gusto extends the same analysis to California (CalSavers 5+ employee deadline) and Oregon (1+ employee deadline), finding that compliance deadlines acted as substantial drivers of 401(k) adoption in both states. Largest gains in employee-level participation were among lower-earning workers ($15,000–$25,000 annual income).",Gusto Government Affairs and Economic Research analysis,Triangulates the Colorado finding to two additional mandate states using the same provider data. Three states all showing the same pattern strengthens the inference materially.
QE017,2026-04-29,2024-03-16,legal_practitioner_observation,Spotts Fain (Virginia law firm),https://www.spottsfain.com/our-insights/blog/is-your-business-required-to-register-with-retirepath,VA,RetirePath,suggestive,yes,Spotts Fain — a Virginia commercial law firm — frames the RetirePath registration deadline (February 15 2024) as a forcing event for client businesses choosing between state-program participation and establishing their own qualified plan such as a 401(k).,Spotts Fain attorney commentary,Legal-practitioner perspective on Virginia mandate as a decision-forcing event for client businesses.
QE018,2026-04-29,2025-07-08,provider_data_attribution,Gusto,https://gusto.com/resources/states/virginia/retirepathvirginia,VA,RetirePath,suggestive,yes,Gusto explicitly extends its Colorado/Oregon finding to Virginia: there has been an increase in 401(k) adoption amongst the smallest employers in Colorado and Oregon which have auto-IRA mandates like Virginia. The framing positions Virginia as expected to follow the same pattern.,Gusto provider analysis applied to Virginia,Extension of the cross-state pattern to Virginia.
QE019,2026-04-29,2024-12-17,provider_data_attribution,Patriot Software/Vestwell,https://www.patriotsoftware.com/blog/payroll/myctsavings-connecticut-retirement-savings-program/,CT,MyCTSavings,suggestive,yes,Patriot Software in partnership with Vestwell — which administers SecureSavings in Colorado — markets 401(k) setup specifically to Connecticut employers as the alternative to facilitating MyCTSavings. Frames the mandate as the active reason employers are evaluating 401(k) options.,Patriot Software/Vestwell partnership content,"Connecticut-specific provider activity around the MyCTSavings mandate. Same pattern observed in CA, OR, CO, VA."
QE020,2026-04-29,2024-12-10,firm_level_named_quote,Colorado Department of Treasury,https://treasury.colorado.gov/press-release/colorado-securesavings-program-surpasses-68000-savers-and-94-million-in-savings,CO,SecureSavings,explicit,yes,"Blue Bonnet Restaurant general manager Chris Strowmatt-Becker, named in the Colorado Treasurer's official press release, said the program has been critical for staff retention and described her decision as a small business that cannot offer their own 401(k) — the alternative path explicitly considered.",Chris Strowmatt-Becker (Blue Bonnet Restaurant Denver) via Colorado Treasurer press release,"NAMED FIRM-LEVEL TESTIMONY confirming the choice between state program and private 401(k) is what employers are actively making."
